CustomerID,Name,Age,Gender,SubscriptionType,SubscriptionDate,LastLoginDate,TotalSessions,FeedbackScore,IsChurned
CUST00001,Sneha,49,Female,Quarterly,28-06-2023,30-08-2023,207,6,1
CUST00002,Diya,43,Female,Yearly,12-06-2022,17-04-2023,59,10,1
CUST00003,Krishna,21,Female,Quarterly,21-12-2024,30-12-2024,69,3,0
CUST00004,Aarav,27,Female,Yearly,15-09-2024,10-12-2024,290,8,1
CUST00005,Ira,36,Other,Yearly,06-02-2022,19-08-2022,49,10,1
CUST00006,Vihaan,60,Other,Yearly,15-06-2024,13-10-2024,261,6,0
CUST00007,Aarav,42,Female,Quarterly,01-05-2023,19-02-2024,98,3,1
CUST00008,Neha,61,Male,Quarterly,23-04-2024,11-12-2024,62,9,1
CUST00009,Krishna,29,Male,Quarterly,04-12-2022,16-10-2024,209,8,0
CUST00010,Vihaan,27,Male,Monthly,16-04-2024,02-11-2024,19,8,1
CUST00011,Reyansh,46,Other,Yearly,11-11-2022,20-12-2024,300,9,0
CUST00012,Arjun,45,Female,Monthly,18-07-2024,18-10-2024,6,8,1
CUST00013,Kavya,34,Male,Yearly,12-09-2022,20-04-2023,39,10,1
CUST00014,Aditya,29,Male,Quarterly,05-11-2024,16-12-2024,283,6,1
CUST00015,Riya,48,Other,Monthly,03-07-2022,06-05-2023,13,3,0
CUST00016,Sai,50,Male,Monthly,04-11-2024,30-11-2024,154,3,1
CUST00017,Neha,54,Other,Yearly,21-04-2024,21-07-2024,236,10,1
CUST00018,Vivaan,35,Male,Yearly,25-10-2023,21-03-2024,4,1,1
CUST00019,Priya,25,Female,Quarterly,09-06-2024,15-11-2024,58,2,0
CUST00020,Sneha,30,Female,Quarterly,03-11-2023,03-05-2024,219,8,0
CUST00021,Neha,19,Female,Quarterly,18-07-2022,21-10-2023,49,10,0
CUST00022,Aditya,49,Male,Yearly,08-06-2023,08-05-2024,254,7,0
CUST00023,Neha,46,Male,Yearly,18-02-2023,10-01-2024,17,3,0
CUST00024,Diya,42,Male,Monthly,09-09-2022,24-09-2023,255,1,0
CUST00025,Priya,45,Male,Yearly,09-03-2022,20-06-2024,73,10,1
CUST00026,Pooja,55,Other,Monthly,23-06-2024,27-08-2024,44,3,0
CUST00027,Kavya,59,Male,Yearly,01-08-2023,04-07-2024,278,9,0
CUST00028,Ira,43,Male,Monthly,26-07-2024,16-08-2024,132,6,1
CUST00029,Riya,40,Male,Yearly,03-07-2024,10-10-2024,177,5,0
CUST00030,Reyansh,52,Female,Monthly,22-01-2024,22-11-2024,220,1,0
CUST00031,Reyansh,38,Female,Quarterly,18-04-2023,17-09-2024,24,1,1
CUST00032,Sai,59,Female,Monthly,06-07-2024,10-07-2024,229,7,0
CUST00033,Arjun,63,Other,Quarterly,24-10-2024,07-12-2024,244,5,1
CUST00034,Ishaan,58,Male,Yearly,07-11-2024,08-11-2024,47,9,1
CUST00035,Riya,25,Male,Quarterly,24-05-2024,01-01-2025,98,5,1
CUST00036,Ira,54,Male,Quarterly,21-02-2023,10-11-2024,170,1,1
